protein_group_id,representative_global_sample_id,representative_sample_id,representative_source_dataset,representative_source_status,representative_protein_pdb,union_pocket_pdb,source_sample_count,unique_pocket_count,protein_residue_count,union_pocket_residue_count,source_sample_ids_file,dataset_label
protein_group_000061,PDBbind2020:3ivc:accepted,3ivc,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000061/protein_group_000061_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000061/protein_group_000061_pocket_union.pdb,38,4,298,147,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000061/source_sample_ids.txt,template
protein_group_000062,PDBbind2020:6ggb:accepted,6ggb,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000062/protein_group_000062_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000062/protein_group_000062_pocket_union.pdb,38,2,198,59,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000062/source_sample_ids.txt,template
protein_group_000063,scPDB:4zvn_2:accepted_pseudo_chainA,4zvn_2,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000063/protein_group_000063_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000063/protein_group_000063_pocket_union.pdb,37,3,460,102,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000063/source_sample_ids.txt,template
protein_group_000064,PDBbind2020:6b98:accepted,6b98,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000064/protein_group_000064_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000064/protein_group_000064_pocket_union.pdb,37,2,353,121,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000064/source_sample_ids.txt,template
protein_group_000065,scPDB:4cgg_1:accepted_pseudo_chainA,4cgg_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000065/protein_group_000065_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000065/protein_group_000065_pocket_union.pdb,37,3,299,100,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000065/source_sample_ids.txt,template
protein_group_000066,scPDB:3och_1:accepted_pseudo_chainA,3och_1,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000066/protein_group_000066_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000066/protein_group_000066_pocket_union.pdb,36,3,318,100,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000066/source_sample_ids.txt,template
protein_group_000067,PDBbind2020:3f2a:accepted,3f2a,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000067/protein_group_000067_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000067/protein_group_000067_pocket_union.pdb,36,2,276,91,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000067/source_sample_ids.txt,template
protein_group_000068,scPDB:2bre_2:accepted,2bre_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000068/protein_group_000068_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000068/protein_group_000068_pocket_union.pdb,36,2,218,104,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000068/source_sample_ids.txt,template
protein_group_000069,PDBbind2020:5ody:accepted,5ody,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000069/protein_group_000069_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000069/protein_group_000069_pocket_union.pdb,36,1,138,63,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000069/source_sample_ids.txt,template
protein_group_000070,PDBbind2020:5ly2:accepted_pseudo_chainA,5ly2,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000070/protein_group_000070_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000070/protein_group_000070_pocket_union.pdb,35,7,1390,410,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000070/source_sample_ids.txt,template
protein_group_000071,PDBbind2020:4fl2:accepted,4fl2,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000071/protein_group_000071_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000071/protein_group_000071_pocket_union.pdb,35,2,555,111,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000071/source_sample_ids.txt,template
protein_group_000072,PDBbind2020:1tu6:accepted_pseudo_chainA,1tu6,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000072/protein_group_000072_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000072/protein_group_000072_pocket_union.pdb,35,2,430,180,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000072/source_sample_ids.txt,template
protein_group_000073,PDBbind2020:3q44:accepted,3q44,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000073/protein_group_000073_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000073/protein_group_000073_pocket_union.pdb,34,2,889,149,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000073/source_sample_ids.txt,template
protein_group_000074,scPDB:5agl_2:accepted_pseudo_chainA,5agl_2,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000074/protein_group_000074_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000074/protein_group_000074_pocket_union.pdb,34,3,819,68,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000074/source_sample_ids.txt,template
protein_group_000075,PDBbind2020:4inu:accepted_pseudo_chainA,4inu,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000075/protein_group_000075_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000075/protein_group_000075_pocket_union.pdb,34,1,648,142,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000075/source_sample_ids.txt,template
protein_group_000076,PDBbind2020:2kce:accepted_dominant_chain,2kce,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000076/protein_group_000076_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000076/protein_group_000076_pocket_union.pdb,34,4,264,111,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000076/source_sample_ids.txt,template
protein_group_000077,PDBbind2020:4ktu:accepted,4ktu,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000077/protein_group_000077_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000077/protein_group_000077_pocket_union.pdb,34,2,223,128,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000077/source_sample_ids.txt,template
protein_group_000078,PDBbind2020:2xas:accepted,2xas,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000078/protein_group_000078_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000078/protein_group_000078_pocket_union.pdb,33,3,666,250,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000078/source_sample_ids.txt,template
protein_group_000079,scPDB:1j1c_2:accepted,1j1c_2,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000079/protein_group_000079_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000079/protein_group_000079_pocket_union.pdb,33,2,364,91,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000079/source_sample_ids.txt,template
protein_group_000080,PDBbind2020:3rhk:accepted,3rhk,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000080/protein_group_000080_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000080/protein_group_000080_pocket_union.pdb,33,2,298,134,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000080/source_sample_ids.txt,template
protein_group_000081,PDBbind2020:3qip:accepted_pseudo_chainA,3qip,PDBbind2020,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000081/protein_group_000081_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000081/protein_group_000081_pocket_union.pdb,32,3,1921,187,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000081/source_sample_ids.txt,template
protein_group_000082,scPDB:4ig0_2:accepted_pseudo_chainA,4ig0_2,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000082/protein_group_000082_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000082/protein_group_000082_pocket_union.pdb,32,4,972,127,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000082/source_sample_ids.txt,template
protein_group_000083,PDBbind2020:1y57:accepted,1y57,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000083/protein_group_000083_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000083/protein_group_000083_pocket_union.pdb,32,5,452,188,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000083/source_sample_ids.txt,template
protein_group_000084,PDBbind2020:4u79:accepted,4u79,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000084/protein_group_000084_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000084/protein_group_000084_pocket_union.pdb,32,3,357,174,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000084/source_sample_ids.txt,template
protein_group_000085,scPDB:3e8e_4:accepted_dominant_chain,3e8e_4,scPDB,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000085/protein_group_000085_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000085/protein_group_000085_pocket_union.pdb,32,2,345,120,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000085/source_sample_ids.txt,template
protein_group_000086,PDBbind2020:6aa5:accepted,6aa5,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000086/protein_group_000086_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000086/protein_group_000086_pocket_union.pdb,32,3,162,109,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000086/source_sample_ids.txt,template
protein_group_000087,PDBbind2020:3jzf:accepted,3jzf,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000087/protein_group_000087_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000087/protein_group_000087_pocket_union.pdb,31,3,447,149,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000087/source_sample_ids.txt,template
protein_group_000088,PDBbind2020:1f0q:accepted,1f0q,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000088/protein_group_000088_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000088/protein_group_000088_pocket_union.pdb,31,2,329,85,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000088/source_sample_ids.txt,template
protein_group_000089,PDBbind2020:3jsi:accepted,3jsi,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000089/protein_group_000089_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000089/protein_group_000089_pocket_union.pdb,31,3,328,105,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000089/source_sample_ids.txt,template
protein_group_000090,PDBbind2020:5b5b:accepted,5b5b,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000090/protein_group_000090_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000090/protein_group_000090_pocket_union.pdb,31,2,260,163,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000090/source_sample_ids.txt,template
protein_group_000091,PDBbind2020:5qtu:accepted,5qtu,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000091/protein_group_000091_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000091/protein_group_000091_pocket_union.pdb,31,1,238,111,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000091/source_sample_ids.txt,template
protein_group_000092,PDBbind2020:5lif:accepted,5lif,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000092/protein_group_000092_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000092/protein_group_000092_pocket_union.pdb,30,2,316,97,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000092/source_sample_ids.txt,template
protein_group_000093,PDBbind2020:4bdi:accepted,4bdi,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000093/protein_group_000093_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000093/protein_group_000093_pocket_union.pdb,30,1,307,108,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000093/source_sample_ids.txt,template
protein_group_000094,scPDB:1ulb_1:accepted,1ulb_1,scPDB,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000094/protein_group_000094_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000094/protein_group_000094_pocket_union.pdb,30,2,289,96,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000094/source_sample_ids.txt,template
protein_group_000095,PDBbind2020:4qmq:accepted,4qmq,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000095/protein_group_000095_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000095/protein_group_000095_pocket_union.pdb,30,3,289,113,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000095/source_sample_ids.txt,template
protein_group_000096,PDBbind2020:5vrl:accepted_dominant_chain,5vrl,PDBbind2020,accepted_dominant_chain,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000096/protein_group_000096_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000096/protein_group_000096_pocket_union.pdb,30,3,268,119,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000096/source_sample_ids.txt,template
protein_group_000097,PDBbind2020:3d52:accepted,3d52,PDBbind2020,accepted,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000097/protein_group_000097_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000097/protein_group_000097_pocket_union.pdb,29,1,1016,107,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000097/source_sample_ids.txt,template
protein_group_000098,scPDB:3wiy_2:accepted_pseudo_chainA,3wiy_2,scPDB,accepted_pseudo_chainA,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000098/protein_group_000098_protein.pdb,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000098/protein_group_000098_pocket_union.pdb,29,5,605,325,/public/share/yanjianbin/liuyugeng/PLDB_redundancy/template_merged/protein_group_000098/source_sample_ids.txt,template
